Year,Event Title,Href
2004,UIAA Worldcup - Kranj (SLO) 2004,https://ifsc.results.info/event/362/
2004,Int. Event - Asia Cup Uttarkashi (IND) 2004,https://ifsc.results.info/event/387/
2004,North American Championship - Mexico City (MEX) 2004 (incl. SpiderKids),https://ifsc.results.info/event/371/
2004,North American Championship - Mexico City (MEX) 2004 (Youth Bouldering),https://ifsc.results.info/event/373/
2004,European Youth Cup - Kranj (SLO) 2004,https://ifsc.results.info/event/369/
2005,UIAA Worldcup (B) - Birmingham (GBR) 2005,https://ifsc.results.info/event/388/
2005,UIAA Worldcup (B+S) - Moscow (RUS) 2005,https://ifsc.results.info/event/389/
2005,UIAA Worldcup (S) - Moscow (RUS) 2005,https://ifsc.results.info/event/390/
2005,European Youth Cup - Brno (CZE) 2005,https://ifsc.results.info/event/407/
2005,Int. Event - Open Youth Marseille (FRA) 2005,https://ifsc.results.info/event/413/
2005,UIAA Worldcup (L+S) - Veliko Tarnovo (BUL) 2005,https://ifsc.results.info/event/391/
2005,UIAA Worldcup (L) - Puurs (BEL) 2005,https://ifsc.results.info/event/392/
2005,Int. Event (B) Mello Blocco - Val Masino (ITA) 2005,https://ifsc.results.info/event/414/
2005,European Youth Cup - Imst (AUT) 2005,https://ifsc.results.info/event/408/
2005,UIAA Worldcup (L) - Imst (AUT) 2005,https://ifsc.results.info/event/393/
2005,Spiderkids - Youth Color Climbing Festival Imst (AUT) 2005,https://ifsc.results.info/event/415/
2005,UIAA Worldcup (B) - Fiera di Primiero (ITA) 2005,https://ifsc.results.info/event/394/
2005,Int. Event (L+B+S) Rock Junior - Arco (ITA) 2005,https://ifsc.results.info/event/416/
2005,UIAA Worldcup (L) - Zürich (SUI) 2005,https://ifsc.results.info/event/395/
2005,Int. Youth Event - Citta di Ravenna (ITA) 2005,https://ifsc.results.info/event/417/
2005,UIAA World Championship - Munich (GER) 2005,https://ifsc.results.info/event/396/
2005,Int. Event - EYOF Climbing Demonstration Ligano (ITA),https://ifsc.results.info/event/418/
2005,Int. Youth Event - EYOF - Lignano (ITA) 2005,https://ifsc.results.info/event/420/
2005,Int. Youth Event - Petzen Trophy Kärnten 2005,https://ifsc.results.info/event/419/
2005,UIAA Worldcup (L+S) - Chamonix (FRA) 2005,https://ifsc.results.info/event/397/
2005,International World Games (L+S) - Duisburg (GER) 2005,https://ifsc.results.info/event/412/
2005,UIAA Worldcup (S) - Daone (ITA) 2005,https://ifsc.results.info/event/398/
2005,Int. Event (L) - Serre Chevalier (FRA) 2005,https://ifsc.results.info/event/421/
2005,Int. Event (B) - L'Argentiere (FRA) 2005,https://ifsc.results.info/event/422/
2005,UIAA World Youth Championship - Bejing (CHN) 2005,https://ifsc.results.info/event/404/
2005,Int. Event (L+B+S) ROCKMASTER - Arco (ITA) 2005,https://ifsc.results.info/event/423/
2005,UIAA Worldcup (L) - Marbella (ESP) 2005,https://ifsc.results.info/event/399/
2005,UIAA Asian Championship - Iran 2005,https://ifsc.results.info/event/405/
2005,UIAA Worldcup (B) - Firminy (FRA) 2005,https://ifsc.results.info/event/400/
2005,Int. Event (L) - Lisbon (POR) 2005,https://ifsc.results.info/event/424/
