rank,category,modality,name,number,country,event_name
66,Men,Lead,Mark BAKER,,AUS,UIAA World Championship - Frankfurt 1991
66,Men,Lead,Seung-kwon CHUNG,,KOR,UIAA World Championship - Frankfurt 1991
66,Men,Lead,Thomasz REGWELSKI,,POL,UIAA World Championship - Frankfurt 1991
69,Men,Lead,Leszek MILCZAREK,,POL,UIAA World Championship - Frankfurt 1991
1,Women,Lead,Susi GOOD,,SUI,UIAA World Championship - Frankfurt 1991
2,Women,Lead,Isabelle PATISSIER,,FRA,UIAA World Championship - Frankfurt 1991
3,Women,Lead,Robyn ERBESFIELD,,USA,UIAA World Championship - Frankfurt 1991
4,Women,Lead,Nanette RAYBAUD,,FRA,UIAA World Championship - Frankfurt 1991
5,Women,Lead,Lynn HILL,,USA,UIAA World Championship - Frankfurt 1991
6,Women,Lead,Natalie RICHER,,FRA,UIAA World Championship - Frankfurt 1991
7,Women,Lead,Venera CHERESHNEVA,,RUS,UIAA World Championship - Frankfurt 1991
8,Women,Lead,Isabelle DORSIMOND,,BEL,UIAA World Championship - Frankfurt 1991
9,Women,Lead,Luisa IOVANE,,ITA,UIAA World Championship - Frankfurt 1991
10,Women,Lead,Barbara HIRSCHBICHLER,,GER,UIAA World Championship - Frankfurt 1991
11,Women,Lead,Agnès BRARD,,FRA,UIAA World Championship - Frankfurt 1991
12,Women,Lead,Felicity BUTLER,,GBR,UIAA World Championship - Frankfurt 1991
13,Women,Lead,Iwona GRONKIEWICZ-MARCISZ,,POL,UIAA World Championship - Frankfurt 1991
14,Women,Lead,Nadejda VERCHININA,,RUS,UIAA World Championship - Frankfurt 1991
15,Women,Lead,Margarita SAULIMOVSKAIA,,RUS,UIAA World Championship - Frankfurt 1991
16,Women,Lead,Flura JIRNOVA,,RUS,UIAA World Championship - Frankfurt 1991
17,Women,Lead,Gunda FRÜHWALD,,GER,UIAA World Championship - Frankfurt 1991
18,Women,Lead,Andrea EISENHUT,,GER,UIAA World Championship - Frankfurt 1991
19,Women,Lead,Paola PONS,,ITA,UIAA World Championship - Frankfurt 1991
20,Women,Lead,Catherine BARDON,,FRA,UIAA World Championship - Frankfurt 1991
21,Women,Lead,Marietta UHDEN,,GER,UIAA World Championship - Frankfurt 1991
22,Women,Lead,Bobbie BENSMAN,,USA,UIAA World Championship - Frankfurt 1991
23,Women,Lead,Ineke DIJKSTRA,,NED,UIAA World Championship - Frankfurt 1991
24,Women,Lead,Metka LUKANCIC,,SLO,UIAA World Championship - Frankfurt 1991
25,Women,Lead,Delyth GOODEY,,GBR,UIAA World Championship - Frankfurt 1991
25,Women,Lead,Karin KAVOUSSI,,AUT,UIAA World Championship - Frankfurt 1991
25,Women,Lead,Martina POLACKOVA,,SVK,UIAA World Championship - Frankfurt 1991
25,Women,Lead,Simona SKARJA,,SLO,UIAA World Championship - Frankfurt 1991
29,Women,Lead,Nancy FEAGIN,,USA,UIAA World Championship - Frankfurt 1991
29,Women,Lead,Pascale NOEL,,LUX,UIAA World Championship - Frankfurt 1991
29,Women,Lead,Miranda ORTAR,,SLO,UIAA World Championship - Frankfurt 1991
29,Women,Lead,Barbara STRANSKA,,CZE,UIAA World Championship - Frankfurt 1991
29,Women,Lead,Mirjam VERBEEK,,NED,UIAA World Championship - Frankfurt 1991
1,Men,Speed,Hans FLORINE,,USA,UIAA World Championship - Frankfurt 1991
2,Men,Speed,Jacky GODOFFE,,FRA,UIAA World Championship - Frankfurt 1991
3,Men,Speed,Kairat RAKHMETOV,,KAZ,UIAA World Championship - Frankfurt 1991
4,Men,Speed,Andrzej MARCISZ,,POL,UIAA World Championship - Frankfurt 1991
5,Men,Speed,Raikhan GALIAKBAROV,,RUS,UIAA World Championship - Frankfurt 1991
5,Men,Speed,Glenn SUTCLIFFE,,GBR,UIAA World Championship - Frankfurt 1991
7,Men,Speed,Mark BAKER,,AUS,UIAA World Championship - Frankfurt 1991
7,Men,Speed,Gregor JAEGER,,GER,UIAA World Championship - Frankfurt 1991
9,Men,Speed,Seung-kwon CHUNG,,KOR,UIAA World Championship - Frankfurt 1991
9,Men,Speed,Stephan HILGERS,,GER,UIAA World Championship - Frankfurt 1991
9,Men,Speed,Johannes NATHAN,,GER,UIAA World Championship - Frankfurt 1991
9,Men,Speed,Petrov PLAMEN,,BUL,UIAA World Championship - Frankfurt 1991
9,Men,Speed,Salavat RAKHMETOV,,RUS,UIAA World Championship - Frankfurt 1991
9,Men,Speed,Arnould T'KINT,,BEL,UIAA World Championship - Frankfurt 1991
9,Men,Speed,Oleg TCHERECHNEV,,RUS,UIAA World Championship - Frankfurt 1991
16,Men,Speed,Hira VERICK,,AUS,UIAA World Championship - Frankfurt 1991
17,Men,Speed,Carlos BRASCO,,ESP,UIAA World Championship - Frankfurt 1991
18,Men,Speed,Rae-kyung PARK,,KOR,UIAA World Championship - Frankfurt 1991
19,Men,Speed,Werner HOFMANS,,BEL,UIAA World Championship - Frankfurt 1991
20,Men,Speed,Vasil KIROV,,BUL,UIAA World Championship - Frankfurt 1991
20,Men,Speed,Ian POWELL,,USA,UIAA World Championship - Frankfurt 1991
1,Women,Speed,Isabelle DORSIMOND,,BEL,UIAA World Championship - Frankfurt 1991
2,Women,Speed,Agnès BRARD,,FRA,UIAA World Championship - Frankfurt 1991
3,Women,Speed,Venera CHERESHNEVA,,RUS,UIAA World Championship - Frankfurt 1991
4,Women,Speed,Yulia INOZEMTSEVA,,RUS,UIAA World Championship - Frankfurt 1991
5,Women,Speed,Ineke DIJKSTRA,,NED,UIAA World Championship - Frankfurt 1991
5,Women,Speed,Andrea EISENHUT,,GER,UIAA World Championship - Frankfurt 1991
5,Women,Speed,Irina KODINA,,RUS,UIAA World Championship - Frankfurt 1991
8,Women,Speed,Iwona GRONKIEWICZ-MARCISZ,,POL,UIAA World Championship - Frankfurt 1991
9,Women,Speed,Felicity BUTLER,,GBR,UIAA World Championship - Frankfurt 1991
10,Women,Speed,Nancy FEAGIN,,USA,UIAA World Championship - Frankfurt 1991
1,Men,Lead,Yuji HIRAYAMA,,JPN,UIAA Worldcup - Tokio 1991
2,Men,Lead,François LOMBARD,,FRA,UIAA Worldcup - Tokio 1991
3,Men,Lead,Jean-baptiste TRIBOUT,,FRA,UIAA Worldcup - Tokio 1991
4,Men,Lead,Frédéric NICOLE,,SUI,UIAA Worldcup - Tokio 1991
5,Men,Lead,Patxi AROCENA,,ESP,UIAA Worldcup - Tokio 1991
6,Men,Lead,Jean Paul FINNE,,BEL,UIAA Worldcup - Tokio 1991
7,Men,Lead,Klaus BÜCHELE,,GER,UIAA Worldcup - Tokio 1991
8,Men,Lead,Didier RABOUTOU,,FRA,UIAA Worldcup - Tokio 1991
9,Men,Lead,Tony RYAN,,GBR,UIAA Worldcup - Tokio 1991
10,Men,Lead,Jacky GODOFFE,,FRA,UIAA Worldcup - Tokio 1991
11,Men,Lead,Jindrich HUDECEK,,CZE,UIAA Worldcup - Tokio 1991
12,Men,Lead,Christoph FINKEL,,GER,UIAA Worldcup - Tokio 1991
13,Men,Lead,Txema GOMEZ,,ESP,UIAA Worldcup - Tokio 1991
14,Men,Lead,Thomas FICKERT,,GER,UIAA Worldcup - Tokio 1991
15,Men,Lead,Stefan FÜRST,,AUT,UIAA Worldcup - Tokio 1991
16,Men,Lead,Motomu TSUGE,,JPN,UIAA Worldcup - Tokio 1991
17,Men,Lead,Andrea GALLO,,ITA,UIAA Worldcup - Tokio 1991
18,Men,Lead,Kusano TOSIMICHI,,JPN,UIAA Worldcup - Tokio 1991
19,Men,Lead,Sugino TAMOTU,,JPN,UIAA Worldcup - Tokio 1991
20,Men,Lead,Glenn SUTCLIFFE,,GBR,UIAA Worldcup - Tokio 1991
21,Men,Lead,Stéphane POUSSARDIN,,FRA,UIAA Worldcup - Tokio 1991
22,Men,Lead,Keiichi USHIZAWA,,JPN,UIAA Worldcup - Tokio 1991
23,Men,Lead,Elie CHEVIEUX,,SUI,UIAA Worldcup - Tokio 1991
24,Men,Lead,Mark DELAFIELD,,GBR,UIAA Worldcup - Tokio 1991
24,Men,Lead,Jae Kyung YOU,,KOR,UIAA Worldcup - Tokio 1991
26,Men,Lead,Will GADD,,CAN,UIAA Worldcup - Tokio 1991
26,Men,Lead,Yutaka SATO,,JPN,UIAA Worldcup - Tokio 1991
28,Men,Lead,Frédéric COROLLER,,FRA,UIAA Worldcup - Tokio 1991
28,Men,Lead,Jung-jun SON,,KOR,UIAA Worldcup - Tokio 1991
30,Men,Lead,Saleb KAZUYOSHI,,JPN,UIAA Worldcup - Tokio 1991
30,Men,Lead,Tetsuyuki TANSOU,,JPN,UIAA Worldcup - Tokio 1991
32,Men,Lead,Robert CORTIJO,,FRA,UIAA Worldcup - Tokio 1991
32,Men,Lead,Michael FADINGER,,AUT,UIAA Worldcup - Tokio 1991
