Year,Event Title,Href,Location,Date
2011,"European Youth Cup (L,S) - Veliko Tarnovo (BUL) 2011",https://ifsc.results.info/event/698/,Veliko,01/08/2011 – 04/08/2011
2011,European Youth Cup (L) - Imst (AUT) 2011,https://ifsc.results.info/event/699/,Imst,12/08/2011 – 14/08/2011
2020,IFSC Pan Am - Continental Championships (C) - Los Angeles (USA) 2020,https://ifsc.results.info/event/70/,Asian_Youth_Chp_19,12/12/2019 – 15/12/2019
2011,European Youth Cup (B) - Meran (ITA) 2011,https://ifsc.results.info/event/700/,Meran,10/09/2011 – 11/09/2011
2011,European Youth Cup (B)- Munich (GER) 2011,https://ifsc.results.info/event/701/,Munich,16/09/2011 – 17/09/2011
2011,European Youth Cup (L) - Pau (FRA) 2011,https://ifsc.results.info/event/702/,Kranj,19/11/2011 – 20/11/2011
2011,European Youth Cup (L)- Kranj (SLO) 2011,https://ifsc.results.info/event/703/,RC Nikoloklettern Do,03/12/2011
2011,26th South East Asian Games 2011 - Palembang and Jakarta (IDN) 2011,https://ifsc.results.info/event/704/,SEAGames_11,11/11/2011 – 22/11/2011
2011,Promotional Event - CupOFF HUDY - Prague (CZE) 2011,https://ifsc.results.info/event/705/,Promo CupOFF Prague,19/02/2011 – 20/02/2011
2011,European Promo Event - Boulder - Sheffield (GBR) 2011,https://ifsc.results.info/event/706/,Sheffield_Promo,05/03/2011 – 06/03/2011
2011,Rheintal Cup - Kinder-Bouldertag Küblis (B),https://ifsc.results.info/event/707/,RC Kinder Küblis,06/03/2011
2011,Promotional Event - Nordic Bouldering Championship - Bouldertehdas Turku (FIN) 2011,https://ifsc.results.info/event/708/,RC Junior Dornbirn,09/04/2011
2011,Rheintal Cup - Junior Cup Dornbirn (L),https://ifsc.results.info/event/709/,Promo_Nordic,01/04/2011 – 02/04/2011
2011,Rheintal Cup - Eidechsli Chur (L),https://ifsc.results.info/event/710/,Log-Dragomer,07/05/2011 – 08/05/2011
2011,Promotional Event - Melloblocco (ITA) 2011,https://ifsc.results.info/event/711/,RC Eidechsli Chur,30/04/2011
2011,International under 14 Event - Atomska Mravka - Skopje (MKD) 2011,https://ifsc.results.info/event/712/,Canmore,27/05/2011 – 28/05/2011
2011,Intl. Event - Youth Color Climbing Festival (under 14) - Imst (AUT) 2011,https://ifsc.results.info/event/713/,Youth Color Imst,11/06/2011 – 12/06/2011
2011,Promotional event - Unified Bouldering Championship - New York (USA) 2011,https://ifsc.results.info/event/714/,,23/06/2011 – 25/06/2011
2011,"Intl. Youth Event - Petzen Climbing Trophy (L, S, B) - Petzen (AUT) 2011",https://ifsc.results.info/event/715/,Sheffield,02/07/2011 – 03/07/2011
2011,Promotional Event - Mammut Blocmaster - Innsbruck (AUT) 2011,https://ifsc.results.info/event/716/,Promo Mammut,09/07/2011 – 10/07/2011
2011,Rockmaster Gala Duel - Arco (ITA) 2011,https://ifsc.results.info/event/717/,Rockmaster Duel,23/07/2011 – 24/07/2011
2011,International Climbing Festival (under 14) - Veliko Tarnovo (BUL) 2011,https://ifsc.results.info/event/718/,Under14_Veliko,27/07/2011 – 29/07/2011
2011,Promo event Adidas Rockstars - AREA 47 Otztal Bahnhof (AUT) 2011,https://ifsc.results.info/event/719/,Briançon,29/07/2011 – 30/07/2011
2020,IFSC Europe - Continental Youth Cup (B) - Soure (POR) 2020 - CANCELLED,https://ifsc.results.info/event/72/,Tarnow (POL),14/11/2020
2011,Promotional Event - Norwegian Rockmaster - Arendal (NOR) 2011,https://ifsc.results.info/event/720/,Daone,06/08/2011 – 07/08/2011
2011,Promotional Event - Les 24 heures du Mur (L) - Oloront Sainte Marie (FRA) 2011,https://ifsc.results.info/event/721/,Speed Megusta,24/09/2011
